 ,BCS,Harris Poll,USA Today,Computer Rankings
RK,TEAM,AVG,PVS, RK,PTS,%,RK , PTS, %,AVG ,A&H,RB,CM,KM,JS,PW, % 
1,Florida State,.9957,1,1,2617,.9970,1,1550,1.0000,1,1,1,2,2,1,1,.990
2,Auburn,.9638,3,2,2527,.9627,2,1486,.9587,2,2,2,1,1,2,2,.970
3,Alabama,.9061,4,3,2405,.9162,3,1414,.9123,3,4,3,6,3,5,3,.890
4,Michigan State,.8600,10,4,2242,.8541,4,1342,.8658,5,5,4,7,5,4,4,.860
5,Stanford,.8191,7,5,2102,.8008,7,1188,.7665,3,3,6,3,4,3,5,.890
6,Baylor,.7722,9,6,2058,.7840,5,1275,.8226,9,6,7,10,12,8,8,.710
7,Ohio State,.7705,2,7,2048,.7802,6,1211,.7813,7,7,5,4,8,10,9,.750
8,Missouri,.7256,5,9,1850,.7048,9,1088,.7019,6,8,9,5,6,7,6,.770
9,South Carolina,.7152,8,8,1866,.7109,8,1108,.7148,8,10,8,8,9,6,7,.720
10,Oregon,.5811,12,12,1499,.5710,12,887,.5723,10,11,11,11,10,13,11,.600
11,Oklahoma,.5756,17,10,1517,.5779,10,913,.5890,12,12,12,12,15,9,12,.560
12,Clemson,.5553,13,11,1512,.5760,11,899,.5800,13,16,10,14,14,15,10,.510
13,Oklahoma State,.5233,6,13,1430,.5448,13,845,.5452,14,13,13,13,22,11,17,.480
14,Arizona State,.4416,11,17,909,.3463,17,602,.3884,11,9,16,9,7,14,13,.590
15,UCF,.4343,16,15,1098,.4183,15,658,.4245,15,15,14,15,19,12,14,.460
16,LSU,.4322,15,14,1267,.4827,14,719,.4639,17,18,18,18,13,17,16,.350
17,UCLA,.3703,18,18,907,.3455,18,520,.3355,16,14,19,16,11,16,15,.430
18,Louisville,.3199,19,16,1091,.4156,16,611,.3942,23,23,15,20,NR,23,23,.150
19,Wisconsin,.2365,21,19,673,.2564,19,408,.2632,20,20,20,24,23,19,22,.190
20,Fresno State,.1675,23,20,579,.2206,20,344,.2219,26,NR,22,21,NR,24,NR,.060
21,Texas A&M,.1663,24,21,471,.1794,21,247,.1594,21,24,25,NR,17,20,19,.160
22,Georgia,.1594,22,23,318,.1211,24,135,.0871,18,19,NR,19,16,21,18,.270
23,Northern Illinois,.1572,14,22,408,.1554,23,149,.0961,19,NR,17,17,NR,18,21,.220
24,Duke,.1134,20,24,291,.1109,21,247,.1594,25,NR,21,23,NR,22,NR,.070
25,USC,.0672,NR,NR,53,.0202,NR,33,.0213,21,17,24,22,18,NR,24,.160
